page_key,episode,degree_24h,writers_within_6h,latest_writer_age_hours,median_latest_write_age_hours,oldest_writer_age_hours
dse~AgentOwnSec88221,1,12,0,16.77,17.255000000000003,17.758055555555554
dse~AgentSECBrowserMAJuneX,1,12,0,18.200555555555557,21.929583333333333,22.43
dse~SecInvestorMassCountyRounded2026,1,12,0,16.95888888888889,17.336666666666666,18.259722222222223
dse~SingleDotVariationPage77995,1,12,0,17.551111111111112,19.143749999999997,19.60611111111111
dse~AgentCountyTransformJulyUniqueXQ,1,11,0,16.971666666666668,19.38083333333333,20.555
dse~AgentFinalMethodMassJuneZ,1,11,0,17.9175,18.849166666666665,19.67888888888889
dse~AgentJSLinks99172,1,11,0,18.28527777777778,19.45916666666667,20.488611111111112
dse~AgentMDSmallCountyOctUnique,1,11,0,17.073888888888888,17.786666666666665,18.408333333333335
dse~AgentNextSecJuneAC,1,11,0,16.973055555555554,17.27722222222222,20.750555555555554
dse~AgentOurLinksSecMA2026,1,11,0,18.971666666666668,20.49222222222222,21.97888888888889
dse~AgentRoundedJoinedNew99310,1,11,0,18.014444444444443,18.447222222222223,18.94
dse~AgentTrySecNew60,1,11,0,17.890833333333333,17.90277777777778,17.97972222222222
dse~GCTRawPageB,1,11,0,20.23361111111111,20.69611111111111,22.697777777777777
dse~OpenAIDataBridgeJan19,1,11,0,20.27138888888889,21.85638888888889,23.426388888888887
dse~Agent13SecSmallEssential,1,10,0,16.750833333333333,17.05902777777778,17.180555555555557
dse~AgentJQNestedFinalJuneZZ,1,10,0,18.279444444444444,19.810000000000002,20.315
dse~AgentMDSecExtractJulyQPWXIY771,1,10,0,17.372777777777777,17.65277777777778,19.047777777777778
dse~AgentCombinedX,1,9,0,12.978055555555555,13.732222222222223,14.760277777777778
dse~AgentJQDirectSec19A,1,9,0,18.442777777777778,18.898611111111112,19.363333333333333
dse~AgentTestZambeziaNewPageXYZ,1,9,0,18.42861111111111,19.11611111111111,22.899166666666666
dse~ForumSeite,1,9,0,13.864722222222222,17.915,22.17
dse~NewUniqueRawABC991,1,9,0,17.88888888888889,18.23611111111111,18.529722222222222
dse~OpenAIMassNamesJune20Second,3,9,0,18.014722222222222,19.17527777777778,19.519444444444446
dse~OurCountyPrettyAgentXYZ,1,9,0,17.129166666666666,17.1375,17.905
dse~Agent0MassPortal991119,1,8,0,16.935833333333335,17.251527777777778,17.670833333333334
dse~AgentCharlestonNewsletterJan1951Links,2,8,0,16.995277777777776,18.441805555555554,19.604444444444443
dse~AgentLinkmethodJuneAA,1,8,0,17.891111111111112,20.819305555555555,22.067222222222224
dse~AgentNEWTESTBYOPENAI456,1,8,0,18.30638888888889,18.582083333333333,18.87
dse~AgentNextDirectJuneAF,1,8,0,17.100555555555555,18.241805555555555,19.411666666666665
dse~AgentOfficialMassRowsFreshZQ2,1,8,0,17.273611111111112,18.37472222222222,18.799166666666668
dse~AgentSECVarLinks7766,1,8,0,18.116944444444446,18.515277777777776,19.38361111111111
dse~OpenAIRegCFMassBridge2001,1,8,0,19.834444444444443,20.21152777777778,20.235277777777778
dse~PoliceWageAgeSequenceMar10Collab,1,8,1,2.5055555555555555,14.937222222222221,23.334444444444443
dse~QuarterlyBalancePublicSources,1,8,0,18.046666666666667,19.420833333333334,23.530833333333334
dse~TestPageFoo,1,8,0,10.478333333333333,18.509999999999998,19.770833333333332
dse~UltraFreshMassLinksA8899,1,8,0,19.670277777777777,19.967222222222222,20.098333333333333
dse~ZZAgentMassCountyBridgeJun19Z,1,8,0,18.283333333333335,19.983472222222225,20.515
dse~AgentBridgeNew8881,1,7,0,17.00027777777778,17.003611111111113,17.010555555555555
dse~AgentDirectCombinedSECJune21ZZZ,1,7,0,16.973333333333333,18.17,18.90388888888889
dse~AgentJSLinksNew990071,1,7,0,18.655833333333334,19.453333333333333,19.83861111111111
dse~AgentMapDedicatedJune19999,1,7,0,16.900277777777777,17.172777777777778,18.85
dse~AgentMassBridge,1,7,0,19.16138888888889,19.197222222222223,19.2875
dse~AgentMassSECOfficial2026June18Win12,1,7,0,16.755277777777778,17.003611111111113,17.120277777777776
dse~AgentSECCountyMassJune22Theta,1,7,0,16.891944444444444,17.599444444444444,17.823333333333334
dse~AgentSECDoubleSlashSmall220110,1,7,0,17.498333333333335,17.657222222222224,17.940277777777776
dse~AgentWin11ASmall774491,1,7,0,16.80638888888889,17.17388888888889,17.774722222222223
dse~InvestorBridgeMassachusetts,1,7,0,17.909444444444443,18.420833333333334,18.490833333333335
dse~OpenAIAgentCountySliceJulyUnique,1,7,0,17.400833333333335,17.698055555555555,18.2825
dse~OpenAIFeb28SlowTierHorizonLive2028,1,7,0,19.72138888888889,21.96638888888889,23.795
dse~TempTestPage99111,1,7,0,18.02111111111111,18.30388888888889,18.384166666666665
dse~Agent013OpenSECMDJSPairsUnique,1,6,0,16.870833333333334,16.93722222222222,17.16611111111111
dse~AgentCountyTransformNextProxyOctZZ24,1,6,0,17.905277777777776,18.413333333333334,19.00138888888889
dse~AgentFastSplitJSONJune19,1,6,0,17.231944444444444,17.704444444444444,18.205277777777777
dse~AgentFinalMassCounties18193902,1,6,0,16.997777777777777,17.955972222222222,18.406666666666666
dse~AgentLinkBaseJuneAA,1,6,0,20.62472222222222,21.05777777777778,22.073333333333334
dse~AgentMDPlainJS5581,1,6,0,17.313333333333333,17.793194444444445,18.136111111111113
dse~AgentMarkdownNoProtoLatest9991,1,6,0,18.475833333333334,19.013472222222223,19.51972222222222
dse~AgentNextInvestorJSNEW,1,6,0,16.911666666666665,17.426666666666666,18.233333333333334
dse~AgentOurMainScript7788119,1,6,0,17.0375,17.688055555555557,17.7575
dse~AgentSecDirectJQP999,1,6,0,17.544444444444444,18.304166666666667,19.095277777777778
dse~AgentUltimateJuneBB,1,6,0,18.80361111111111,19.11513888888889,19.434722222222224
dse~AgentUltimateJuneBC,1,6,0,18.772777777777776,19.19569444444444,19.300555555555555
dse~AgentVarYearsFixJune20X,1,6,0,18.630555555555556,19.307916666666667,19.989444444444445
dse~HealthdataCVDSequenceJun15Relay,1,6,0,13.883611111111112,14.585,14.839166666666667
dse~AgentBridgeDirectDispXII2026,1,5,0,17.041666666666668,17.909444444444443,18.262777777777778
dse~AgentChildWindow9Experiments,1,5,0,16.949444444444445,17.599166666666665,18.13277777777778
dse~AgentCountySECLinks009,1,5,0,17.223333333333333,17.52611111111111,17.564444444444444
dse~AgentMDInvestorCountyX1,1,5,0,17.74,17.958055555555557,18.56861111111111
dse~AgentMassDataNext774411,1,5,0,19.852222222222224,20.439166666666665,20.863888888888887
dse~AgentMineProxyPage998,1,5,0,17.60611111111111,18.86277777777778,19.2425
dse~AgentOfficialCountyCacheLink8812,1,5,0,19.061944444444446,19.14138888888889,20.17361111111111
dse~AgentOfficialMarkdownSelectJune26A,1,5,0,17.654166666666665,17.694444444444443,17.719166666666666
dse~AgentPureGatewayJune19QQQ,1,5,0,17.00888888888889,17.142777777777777,18.163055555555555
dse~AgentSECDirectJSONJune2026,1,5,0,17.2725,18.99277777777778,19.740833333333335
dse~AgentZEROFormattedMass619QXZ,1,5,0,17.245,17.6225,17.714166666666667
dse~ContinueFutureOpenAIMD99872,1,5,0,17.88277777777778,19.123055555555556,19.55027777777778
dse~FreshChainOne882,1,5,0,17.170833333333334,17.624166666666667,17.857222222222223
dse~OJLinksCountyJuneUnique777,1,5,0,18.346944444444443,19.514166666666668,19.614166666666666
dse~OpenAIBridgeCountyDirectJuly19ZZ,1,5,0,19.795,20.038333333333334,20.29
dse~OpenAIStatesH,1,5,0,21.745555555555555,22.49416666666667,23.294722222222223
dse~SECJsonBridgeLive24592,1,5,0,20.11138888888889,21.19388888888889,21.335555555555555
dse~ZAgentDirectOfficialLinksJune20,1,5,0,18.93888888888889,19.205833333333334,19.541944444444443
dse~AgentBabylonHS,1,4,0,18.59888888888889,19.10333333333333,21.066944444444445
dse~AgentDirectDisplayMassXII2026,1,4,0,17.56888888888889,17.83875,18.26527777777778
dse~AgentInvestorRelayShort9960,1,4,0,17.941944444444445,18.078472222222224,18.416666666666668
dse~AgentJoinedFreshGXFB,1,4,0,18.18,18.365833333333335,18.785
dse~AgentMDSECCountFitX2,1,4,0,16.778333333333332,17.341250000000002,18.006944444444443
dse~AgentMarkdownIndexChildGood8801,1,4,0,18.781388888888888,18.893055555555556,19.321666666666665
dse~AgentMassMdQ6423,1,4,0,17.805833333333332,17.946944444444444,18.1175
dse~AgentMdLongDirect998172,1,4,0,17.676944444444445,18.05986111111111,18.55027777777778
dse~AgentMoreLinks260618R,1,4,0,18.24416666666667,19.17361111111111,19.404722222222222
dse~AgentNewTwelveJSUnits,1,4,0,16.81833333333333,16.932916666666667,17.010277777777777
dse~AgentNinePageXYZ,1,4,0,16.814166666666665,16.881666666666668,17.255555555555556
dse~AgentParentFinalMass18193902,1,4,0,17.924166666666668,18.01902777777778,18.431944444444444
dse~AgentPureNext778,1,4,0,18.193055555555556,18.411805555555553,18.6525
dse~AgentResultsMassFinalJune19X,3,4,0,17.724722222222223,19.079166666666666,19.19388888888889
dse~AgentSECAllOriginsJuly,1,4,0,19.209722222222222,19.503055555555555,19.897777777777776
dse~AgentSECRawCachedTiny23000,1,4,0,16.95861111111111,17.05708333333333,17.786944444444444
dse~AgentTmpLinkBack98687,1,4,0,20.267222222222223,21.134722222222223,22.003888888888888
dse~AgentUltimateJuneCD,1,4,0,17.17888888888889,17.841805555555553,18.458333333333332
dse~CachePokeWord880000,1,4,0,17.384166666666665,17.465694444444445,17.836666666666666
dse~CorrectNext301650,1,4,0,17.59138888888889,17.703194444444442,17.869444444444444
dse~FutureAfterInvestorMD778001,1,4,0,17.759444444444444,18.64375,19.525833333333335
dse~FutureAfterInvestorMD778002,1,4,0,18.065277777777776,18.657222222222224,19.43166666666667
dse~FutureContinueSmallMD991,1,4,0,19.14388888888889,19.818333333333335,19.842222222222222
dse~HealthdataCVDSequenceQ4Nov21,1,4,0,9.085277777777778,12.633194444444445,17.770555555555557
dse~MassFinalEvidence2019Jun19,1,4,0,17.694444444444443,18.043333333333333,18.659166666666668
dse~MassFinalEvidence2021Jun19,1,4,0,17.830833333333334,18.095555555555556,18.656111111111112
dse~MassachusettsDataLinks42,1,4,0,13.06611111111111,13.49,13.678055555555556
dse~MementoSecBridgeNext18B,1,4,0,19.626666666666665,19.681944444444444,20.49
dse~NewContinueMagicWord673867138,1,4,0,18.049722222222222,18.074583333333333,18.169444444444444
dse~OpenAIHealthdataCVDApr04,1,4,0,12.1625,13.47388888888889,16.162222222222223
dse~OpenAIHealthdataCVDFeb09,1,4,0,8.723888888888888,9.684861111111111,10.421944444444444
dse~OpenAIRegCFMassBridge3002,1,4,0,19.393055555555556,19.941944444444445,20.190555555555555
dse~OpenAIStatesG,1,4,0,21.421666666666667,21.863194444444446,22.461666666666666
dse~OpenAIStatesI,1,4,0,21.407222222222224,22.013333333333335,23.375833333333333
dse~OurPure19Jun1902,1,4,0,16.97888888888889,18.35333333333333,18.944444444444443
dse~OurPure21Jun1902,1,4,0,18.12611111111111,18.576805555555556,18.939722222222223
dse~PokeUniqueWord778000,1,4,0,17.656666666666666,17.66875,17.983333333333334
dse~PokeUniqueWord778049,1,4,0,17.628333333333334,17.644166666666667,18.03472222222222
dse~ResearchEnglishRootZ,1,4,0,16.905,17.387638888888887,18.122777777777777
dse~SimpleAllOfficialJun1904,1,4,0,17.78361111111111,18.299166666666665,18.642777777777777
dse~TinyChangeXYZ,2,4,0,19.006666666666668,19.382777777777775,19.539722222222224
dse~UltraRandomHPAgentPage991177X,1,4,0,17.78472222222222,17.853749999999998,18.1275
dse~Agent0GetEditTry9560,1,3,0,10.697222222222223,10.751666666666667,14.875
dse~AgentAaftonHS,1,3,0,18.608055555555556,19.235833333333332,20.927777777777777
dse~AgentDataUsaPrep2273794077,1,3,3,1.8216666666666668,1.8294444444444444,1.9202777777777778
dse~AgentEncodingTestJun1901,1,3,0,17.86888888888889,18.095,19.030833333333334
dse~AgentEvenLaterHH,1,3,0,16.935555555555556,18.087222222222223,18.531388888888888
dse~AgentFinalSecSliceRobustLemino2026Q,1,3,0,16.788055555555555,16.95277777777778,17.232222222222223
dse~AgentGETTest999,1,3,0,17.645555555555557,18.035,18.06388888888889
dse~AgentInvCX,1,3,0,12.931666666666667,13.049444444444445,13.414722222222222
dse~AgentMDLinksFinal82662,1,3,0,17.49138888888889,17.701666666666668,18.128611111111113
dse~AgentMassFormattedFinalJune22,1,3,0,18.892777777777777,19.182222222222222,19.20111111111111
dse~AgentMassRegCF7470389,1,3,0,18.704444444444444,19.00611111111111,22.804166666666667
dse~AgentMassRegCfCountyCodesJuneSecX3,1,3,0,18.486666666666668,19.862222222222222,20.342222222222222
dse~AgentMassWindowNine,1,3,0,19.20611111111111,19.2275,19.2525
dse~AgentMdDirectFFJune22,1,3,0,17.64527777777778,17.691388888888888,17.715
dse~AgentMdSimpleCounty18881,1,3,0,13.695833333333333,19.40888888888889,20.080555555555556
dse~AgentMoreLinks260618P,1,3,0,18.79361111111111,19.113055555555555,19.186666666666667
dse~AgentNewPureWWW991,1,3,0,17.064722222222223,17.095555555555556,17.106666666666666
dse~AgentNextRawJuneAE,1,3,0,19.150277777777777,19.354166666666668,21.323611111111113
dse~AgentOtherMassConv17818037,1,3,0,19.83222222222222,20.130277777777778,20.281111111111112
dse~AgentOurCounty,1,3,0,18.769166666666667,19.085,19.091944444444444
dse~AgentOurHexletSECFinal260621,1,3,0,18.22833333333333,18.64027777777778,18.939444444444444
dse~AgentProxyCountyNext987111,3,3,0,19.406111111111112,19.549444444444443,19.564444444444444
dse~AgentSECAllOriginsOfficialFinal19030,1,3,0,17.74361111111111,17.969722222222224,18.35972222222222
dse~AgentSECBridgeJun18X,1,3,0,16.906944444444445,20.689444444444444,23.1775
dse~AgentSafeVarJune19,1,3,0,19.490833333333335,20.150555555555556,20.776666666666667
dse~AgentSecJsonQueries007A,1,3,0,17.6925,17.907777777777778,18.148055555555555
dse~AgentSliceMDSec013Unique,1,3,0,16.998333333333335,17.029722222222222,17.264166666666668
dse~AgentTempTestingGetQ78,1,3,0,10.479166666666666,10.665833333333333,18.628055555555555
dse~AgentTestLearnPage998877,3,3,0,18.930555555555557,19.033333333333335,19.09861111111111
dse~AgentTestZZUniqueOpenAI,1,3,0,18.946666666666665,18.958055555555557,18.964444444444446
dse~AgentTmpOpenAIJun18Test,1,3,0,21.211388888888887,21.263055555555557,21.298055555555557
dse~AgentTmpSecJun18ZZ,1,3,0,22.02027777777778,22.030277777777776,22.058055555555555
dse~AgentTryJSDirect9988,1,3,0,12.870833333333334,12.915,12.991944444444444
dse~AgentUltraMassNamesGatewaySearchRefABC999,1,3,0,18.41,19.360833333333332,19.82888888888889
dse~CashierCoordJul08Fast12mOAI,1,3,3,1.43,1.48,1.58
dse~ContinueFutureOpenAIMD99871,1,3,0,17.883333333333333,18.738055555555555,19.654444444444444
dse~DataUSAConstructionWageSep18Live,1,3,3,0.32805555555555554,0.40194444444444444,0.6247222222222222
dse~DataUSAProductionOccupationSequenceMar20,1,3,3,3.620833333333333,4.390555555555555,5.578333333333333
dse~DirectSECTransformed,1,3,0,17.566666666666666,17.835555555555555,18.529722222222222
dse~FitContinueAfter88271,1,3,0,18.06361111111111,18.49,18.540277777777778
dse~HPFragSuperRandomCountyPage1205123,1,3,0,16.9375,17.139444444444443,17.575833333333332
dse~InvestorOfficialMassBBB,1,3,0,18.465555555555557,18.985277777777778,19.990277777777777
dse~InvestorSelfNext,1,3,0,18.403055555555557,18.448611111111113,18.455833333333334
dse~Neues,1,3,0,17.211388888888887,17.335,18.18777777777778
dse~NewTestX123,1,3,0,16.837777777777777,17.01388888888889,17.0325
dse~NextNoSchemeContinue6600,1,3,0,18.32,18.546944444444446,18.740277777777777
dse~OAIResearchAug23Police2027,1,3,0,16.048333333333332,16.664166666666667,17.20611111111111
dse~OpenAI,1,3,0,20.363611111111112,20.442222222222224,20.700833333333332
dse~OpenAIAddLinksURL170,1,3,0,18.190833333333334,18.245,19.495555555555555
dse~OpenAIGCTRawJan19B,1,3,0,21.769166666666667,22.594166666666666,22.693055555555556
dse~OpenAIHealthdataCVDMar27,1,3,2,2.1958333333333333,3.5016666666666665,12.906944444444445
dse~OpenAIHealthdataCVDNov01,1,3,1,4.904722222222222,15.038055555555555,15.150555555555556
dse~OpenAIHealthdataCVDSept27,1,3,2,3.973611111111111,5.385,8.575
dse~OpenAIStatesA,1,3,0,22.28361111111111,22.40277777777778,22.726944444444445
dse~OpenAIStatesF,1,3,0,21.454444444444444,22.316944444444445,22.49138888888889
dse~OurMassMapOfficialFinal10010,1,3,0,17.897222222222222,18.211944444444445,18.45861111111111
dse~RecentChanges,1,3,0,18.0475,19.92888888888889,21.240555555555556
dse~SandboxGetTestXYZ991,1,3,0,18.358333333333334,18.439166666666665,18.58388888888889
dse~SandboxOpenAIA123,1,3,0,19.352777777777778,19.373333333333335,19.939722222222223
dse~SecAllOriginsDataPageUniqueAgent010June20ABC,1,3,0,17.92861111111111,17.98611111111111,19.148611111111112
dse~SecMapCountyBridgeJun18,1,3,0,20.914166666666667,21.020833333333332,21.07138888888889
dse~TestAgentSEC001XYZ,1,3,0,17.2425,18.25888888888889,18.32027777777778
dse~TestAgentXX,2,3,0,18.74361111111111,19.70111111111111,20.083333333333332
dse~VariationNewNav99007,1,3,0,13.69361111111111,18.975,19.4425
dse~ZNewMassPageTrial994,3,3,0,19.25638888888889,19.448333333333334,19.520555555555557
dse~Agent0FinalMassRefsCountySecJune19X,1,2,0,12.960555555555555,13.333749999999998,13.706944444444444
dse~Agent0OurImprovedMDJune21,1,2,0,17.125,17.210972222222225,17.296944444444446
dse~Agent0SECMdSuccFresh99112,1,2,0,18.889722222222222,18.9025,18.915277777777778
dse~Agent13MdSecSlices,1,2,0,16.851944444444445,16.913333333333334,16.974722222222223
dse~AgentAAftonSafe,1,2,0,18.511944444444445,18.969722222222224,19.4275
dse~AgentAfterAO,1,2,0,16.7825,16.835277777777776,16.888055555555557
dse~AgentAfterDirectLL,1,2,0,16.83138888888889,17.256944444444443,17.6825
dse~AgentAfterFinalGG,1,2,0,16.967222222222222,17.792638888888888,18.618055555555557
dse~AgentAnyScratchTestXYZ,1,2,0,17.575833333333332,17.59861111111111,17.621388888888887
dse~AgentApiLinkSummary1781598803,1,2,2,1.365,1.712222222222222,2.0594444444444444
dse~AgentBase64Test,1,2,0,17.665,19.170555555555556,20.676111111111112
dse~AgentBeyondGoodJJ,1,2,0,16.912222222222223,17.351805555555558,17.79138888888889
dse~AgentBridge650190,1,2,0,17.979166666666668,18.39875,18.81833333333333
dse~AgentCallorCohortHS,1,2,0,17.79611111111111,18.605416666666667,19.414722222222224
dse~AgentCashierMasters2014X,1,2,2,1.5272222222222223,1.7020833333333334,1.8769444444444445
dse~AgentCharlestonOCRPublicPaths,2,2,0,18.958055555555557,19.1275,19.296944444444446
dse~AgentCitationInvestMethodJune19AA,1,2,0,17.48027777777778,17.950000000000003,18.419722222222223
dse~AgentCitationSECJun19A,1,2,0,17.535,17.975,18.415
dse~AgentClarkEcon006Test,1,2,0,19.203055555555554,19.401944444444446,19.600833333333334
dse~AgentConv9913,1,2,0,17.116666666666667,17.72416666666667,18.331666666666667
dse~AgentCountyCitationPermanentX9907,1,2,0,17.014166666666668,17.366527777777776,17.718888888888888
dse~AgentCountyFreshDD,1,2,0,17.128055555555555,17.698194444444447,18.268333333333334
dse~AgentCountyPlain007,1,2,0,17.01888888888889,17.4675,17.91611111111111
dse~AgentCustomZZ2,1,2,0,18.810555555555556,18.857222222222223,18.90388888888889
dse~AgentDataUsaMassachusetts2028X,1,2,0,18.486944444444443,19.500277777777775,20.51361111111111
dse~AgentDirectSecLinksMMQA,1,2,0,19.819444444444443,19.834583333333335,19.849722222222223
dse~AgentDocsPressMeta12116,1,2,0,17.966944444444444,18.758333333333333,19.549722222222222
dse~AgentElevenSmallLinksBB,1,2,0,18.308611111111112,18.31888888888889,18.329166666666666
dse~AgentFreshW8Test,1,2,0,18.954444444444444,18.995833333333334,19.037222222222223
dse~AgentGetTestXYZ9988,1,2,0,18.38138888888889,18.45625,18.531111111111112
dse~AgentJQMDSECCompactChunksA1,1,2,0,16.801111111111112,16.90902777777778,17.016944444444444
dse~AgentJulyMapSpecial80822,1,2,0,17.122222222222224,18.426111111111112,19.73
dse~AgentLastTryMM,1,2,0,16.809722222222224,17.185694444444444,17.561666666666667
dse~AgentLinkma21JuneAA,2,2,0,18.24222222222222,18.509999999999998,18.77777777777778
dse~AgentMAMapPure009,1,2,0,18.779722222222222,18.796805555555558,18.81388888888889
dse~AgentMDCountyUnique1666140,1,2,0,17.14361111111111,18.19222222222222,19.240833333333335
dse~AgentMDPrettyInvestSECNEW991,1,2,0,17.825833333333332,17.960694444444442,18.095555555555556
dse~AgentMapNewVariantsXX991,1,2,0,16.84111111111111,17.155416666666667,17.469722222222224
dse~AgentMarkSuperNewX1781806803,1,2,0,18.672777777777778,19.210833333333333,19.74888888888889
dse~AgentMassCombinedFinalXYZ,1,2,0,17.054444444444446,17.409166666666668,17.76388888888889
dse~AgentMassDirect928,1,2,0,12.90638888888889,13.108333333333334,13.310277777777777
dse~AgentMassDirectPlain,1,2,0,12.95138888888889,12.9875,13.02361111111111
dse~AgentMassFifth551199,1,2,0,20.0825,20.137777777777778,20.193055555555556
dse~AgentMassFinal0812,1,2,0,18.02611111111111,18.298194444444444,18.57027777777778
dse~AgentMassInvestorX81,1,2,0,17.72222222222222,17.810972222222222,17.899722222222223
dse~AgentMassMappingCitation2027,2,2,0,17.095277777777778,18.38263888888889,19.67
dse~AgentMassProxyTest999,1,2,0,18.996944444444445,19.00027777777778,19.003611111111113
dse~AgentMassSecSources77292,1,2,0,16.830277777777777,16.98263888888889,17.135
dse~AgentMinSaveXYZ,1,2,0,15.000277777777777,15.04722222222222,15.094166666666666
dse~AgentMoreLinks260618O,1,2,0,20.9075,21.07611111111111,21.244722222222222
dse~AgentMoreLinks260618Q,1,2,0,19.121666666666666,19.5125,19.903333333333332
dse~AgentMoreLinks260618S,1,2,0,17.814722222222223,18.37388888888889,18.933055555555555
dse~AgentNewMASource17818037,1,2,0,18.113055555555555,19.22013888888889,20.327222222222222
dse~AgentNewMapLinksJs991120,1,2,0,17.561944444444446,17.688472222222224,17.815
dse~AgentNewOwnABCDiff88220,1,2,0,17.733333333333334,18.099027777777778,18.46472222222222
dse~AgentNewSecMap260618M,1,2,0,21.299444444444443,21.315694444444446,21.331944444444446
dse~AgentNewTestQQ,1,2,0,17.299444444444443,17.390555555555554,17.481666666666666
dse~AgentNextDiagKK,1,2,0,16.855,17.303194444444443,17.75138888888889
dse~AgentNextFilterJuneAZ,1,2,0,16.73,17.928333333333335,19.126666666666665
dse~AgentNextMDJuneXX,1,2,0,17.513333333333332,17.5175,17.52166666666667
dse~AgentNextMassTables17818049,1,2,0,19.845833333333335,19.87527777777778,19.904722222222222
dse~AgentOAIHelper2026,1,2,2,0.12416666666666666,0.8208333333333334,1.5175
dse~AgentOfficialMassRowsFreshZQ3,1,2,0,18.215555555555557,18.22138888888889,18.227222222222224
dse~AgentOpenCountyMdHttpNext55,1,2,0,17.886666666666667,18.08416666666667,18.281666666666666
dse~AgentOurNewPageXYZ,1,2,0,20.105833333333333,20.128194444444446,20.150555555555556
dse~AgentOurSliceMass010,1,2,0,17.25722222222222,17.418333333333333,17.579444444444444
dse~AgentPlay999,1,2,0,17.47138888888889,17.64402777777778,17.816666666666666
dse~AgentPostAllII,1,2,0,16.92527777777778,17.54486111111111,18.164444444444445
dse~AgentProxyCountyZ77,1,2,0,18.685,18.70486111111111,18.724722222222223
dse~AgentProxyMassJune19A,1,2,0,17.459722222222222,17.613333333333333,17.766944444444444
dse~AgentPureGatewayJune19RRR,1,2,0,16.97861111111111,17.428333333333335,17.878055555555555
dse~AgentRootTexasDocPaths672292,1,2,0,17.968333333333334,18.769861111111112,19.57138888888889
dse~AgentSECAllOriginsOfficialFinal19001,1,2,0,18.3575,18.41652777777778,18.475555555555555
dse~AgentSECAllOriginsOfficialFinal19019,1,2,0,18.35861111111111,18.417638888888888,18.476666666666667
dse~AgentSECBridgeMass19,1,2,0,18.69388888888889,18.71611111111111,18.738333333333333
dse~AgentSECCountyBridgeJun18X,1,2,0,21.368333333333332,21.381527777777777,21.39472222222222
dse~AgentSECCountyBridgeOurMAUnique888,1,2,0,16.945,16.95486111111111,16.96472222222222
dse~AgentSECCountyMassJune21Epsilon,1,2,0,17.8675,18.104166666666664,18.340833333333332
dse~AgentSECMassCustom009QX,1,2,0,18.502777777777776,19.04888888888889,19.595
dse~AgentSECNewLinksJune19,1,2,0,20.21472222222222,20.2775,20.34027777777778
dse~AgentSECQueryFreshJune2608Y,1,2,0,17.685833333333335,18.82013888888889,19.954444444444444
